State,FIPS,County,squarekm,squaremi,Latitude,Longitude,CS1971,CS1981,CS1991,CS2001,CS2011,CS2019,CH1971,CH1981,CH1991,CH2001,CH2011,CH2019,GE1971,GE1981,GE1991,GE2001,GE2011,GE2019,ME1971,ME1981,ME1991,ME2001,ME2011,ME2019,PG1971,PG1981,PG1991,PG2001,PG2011,PG2019,PN1971,PN1981,PN1991,PN2001,PN2011,PN2019,RE1971,RE1981,RE1991,RE2001,RE2011,RE2019,SB1971,SB1981,SB1991,SB2001,SB2011,SB2019,SY1971,SY1981,SY1991,SY2001,SY2011,SY2019,ZI1971,ZI1981,ZI1991,ZI2001,ZI2011,ZI2019
CA,6025,Imperial,10817.353,4176.603,33.041,-115.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6027,Inyo,26368.354,10180.879,36.562,-117.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
CA,6029,Kern,21061.565,8131.916,35.347,-118.730,91,713,860,2023,1690,1322,1,12,408,2532,1326,1183,1,20,0,0,0,0,0,0,70,1786,469,461,0,0,0,0,6,300,1,0,10,0,0,3,4,40,1,35,0,0,0,20,76,76,0,0,0,0,0,239,111,80,34,66,1132,2012,862,1161
CA,6031,Kings,3598.582,1389.42,36.072,-119.816,0,0,37,115,38,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,20,14,161,0,0,0,0,5,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,145,251,251,64
CA,6033,Lake,3254.228,1256.464,39.095,-122.747,232,1103,1229,2855,3113,4829,0,123,649,694,461,480,0,17,0,102,107,16,0,67,145,599,496,356,0,0,0,10,137,265,0,7,0,4,46,58,0,150,73,37,66,30,34,478,704,1371,1862,2060,0,0,10,229,349,226,158,321,374,609,603,386
CA,6035,Lassen,11761.612,4541.184,40.721,-120.630,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6037,Los Angeles,10509.87,4057.884,34.196,-118.262,0,0,0,31,54,64,0,0,0,1,6,13,0,0,0,0,0,0,0,0,0,5,13,21,0,0,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,8,15,30,19,0,2,3,8,19
CA,6039,Madera,5534.983,2137.069,37.210,-119.750,0,20,119,2546,3195,3379,52,122,301,3435,5615,4715,0,0,0,0,,50,0,28,169,4053,2931,2777,0,0,0,0,545,1094,0,0,5,13,17,75,0,0,0,0,33,48,2,40,119,123,120,88,0,0,0,1669,1807,1552,98,76,934,3104,2909,2018
CA,6041,Marin,1347.586,520.306,38.052,-122.746,0,12,9,13,4,7,0,0,0,13,18,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,134,121,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0
CA,6043,Mariposa,3752.417,1448.816,37.570,-119.913,0,0,1,8,16,20,0,0,11,8,8,8,0,0,0,0,0,0,0,0,7,16,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,6,6,0,0,0,0,0,3,2,6,0,0,12,9,12,8
